measure,label,model,dataset,arch,pvp,nshot,sample,value,time_train,time_test,run,majority
Accuracy,Overall,roberta,ag,pet,qa,10,2,0.806052631578947,,,5,0.816842105263158
F1,0,roberta,ag,pet,qa,10,2,0.820485462790077,,,1,0.833376522415134
F1,0,roberta,ag,pet,qa,10,2,0.828997221520586,,,2,0.833376522415134
F1,0,roberta,ag,pet,qa,10,2,0.816172777498744,,,3,0.833376522415134
F1,0,roberta,ag,pet,qa,10,2,0.837729816147082,,,4,0.833376522415134
F1,0,roberta,ag,pet,qa,10,2,0.833333333333333,,,5,0.833376522415134
F1,1,roberta,ag,pet,qa,10,2,0.960246216978712,,,1,0.963307493540052
F1,1,roberta,ag,pet,qa,10,2,0.962278675904542,,,2,0.963307493540052
F1,1,roberta,ag,pet,qa,10,2,0.964705882352941,,,3,0.963307493540052
F1,1,roberta,ag,pet,qa,10,2,0.966492146596859,,,4,0.963307493540052
F1,1,roberta,ag,pet,qa,10,2,0.953061224489796,,,5,0.963307493540052
F1,2,roberta,ag,pet,qa,10,2,0.776448942042318,,,1,0.770149253731343
F1,2,roberta,ag,pet,qa,10,2,0.777304964539007,,,2,0.770149253731343
F1,2,roberta,ag,pet,qa,10,2,0.763042978625603,,,3,0.770149253731343
F1,2,roberta,ag,pet,qa,10,2,0.756990225051148,,,4,0.770149253731343
F1,2,roberta,ag,pet,qa,10,2,0.758995247793619,,,5,0.770149253731343
F1,3,roberta,ag,pet,qa,10,2,0.68039950062422,,,1,0.679717586649551
F1,3,roberta,ag,pet,qa,10,2,0.684649967886962,,,2,0.679717586649551
F1,3,roberta,ag,pet,qa,10,2,0.657462195923734,,,3,0.679717586649551
F1,3,roberta,ag,pet,qa,10,2,0.705700123915737,,,4,0.679717586649551
F1,3,roberta,ag,pet,qa,10,2,0.650903119868637,,,5,0.679717586649551
F1,Overall,roberta,ag,pet,qa,10,2,0.809395030608832,,,1,0.81163771408402
F1,Overall,roberta,ag,pet,qa,10,2,0.813307707462774,,,2,0.81163771408402
F1,Overall,roberta,ag,pet,qa,10,2,0.800345958600256,,,3,0.81163771408402
F1,Overall,roberta,ag,pet,qa,10,2,0.816728077927707,,,4,0.81163771408402
F1,Overall,roberta,ag,pet,qa,10,2,0.799073231371346,,,5,0.81163771408402
Precision,0,roberta,ag,pet,qa,10,2,0.831800973499189,,,1,0.820826952526799
Precision,0,roberta,ag,pet,qa,10,2,0.796988829528898,,,2,0.820826952526799
Precision,0,roberta,ag,pet,qa,10,2,0.780499519692603,,,3,0.820826952526799
Precision,0,roberta,ag,pet,qa,10,2,0.848354020507285,,,4,0.820826952526799
Precision,0,roberta,ag,pet,qa,10,2,0.829853862212944,,,5,0.820826952526799
Precision,1,roberta,ag,pet,qa,10,2,0.936468234117059,,,1,0.946192893401015
Precision,1,roberta,ag,pet,qa,10,2,0.938908362543816,,,2,0.946192893401015
Precision,1,roberta,ag,pet,qa,10,2,0.958441558441558,,,3,0.946192893401015
