measure,label,dataset,arch,pvp,nshot,sample,value,time_train,time_test,run,majority
Accuracy,Overall,ag,ia3,qa,10,1,0.541184210526316,19.4297163486481,285.559893131256,1,0.598289473684211
Accuracy,Overall,ag,ia3,qa,10,1,0.632105263157895,19.502872467041,286.935701847076,2,0.598289473684211
Accuracy,Overall,ag,ia3,qa,10,1,0.542894736842105,19.4739706516266,286.863533735275,3,0.598289473684211
Accuracy,Overall,ag,ia3,qa,10,1,0.619868421052632,19.4756135940552,286.426137685776,4,0.598289473684211
Accuracy,Overall,ag,ia3,qa,10,1,0.648421052631579,19.5416522026062,285.7893409729,5,0.598289473684211
F1,0,ag,ia3,qa,10,1,0.699402786994028,19.4297163486481,285.559893131256,1,0.771726535341831
F1,0,ag,ia3,qa,10,1,0.77988132240746,19.502872467041,286.935701847076,2,0.771726535341831
F1,0,ag,ia3,qa,10,1,0.763825236785823,19.4739706516266,286.863533735275,3,0.771726535341831
F1,0,ag,ia3,qa,10,1,0.81420313790256,19.4756135940552,286.426137685776,4,0.771726535341831
F1,0,ag,ia3,qa,10,1,0.767020970985349,19.5416522026062,285.7893409729,5,0.771726535341831
F1,1,ag,ia3,qa,10,1,0.583882783882784,19.4297163486481,285.559893131256,1,0.769327863679394
F1,1,ag,ia3,qa,10,1,0.860874503123226,19.502872467041,286.935701847076,2,0.769327863679394
F1,1,ag,ia3,qa,10,1,0.658807212205271,19.4739706516266,286.863533735275,3,0.769327863679394
F1,1,ag,ia3,qa,10,1,0.777674418604651,19.4756135940552,286.426137685776,4,0.769327863679394
F1,1,ag,ia3,qa,10,1,0.823141486810552,19.5416522026062,285.7893409729,5,0.769327863679394
F1,2,ag,ia3,qa,10,1,0.322388059701493,19.4297163486481,285.559893131256,1,0.11972522080471
F1,2,ag,ia3,qa,10,1,0.0470347648261759,19.502872467041,286.935701847076,2,0.11972522080471
F1,2,ag,ia3,qa,10,1,0.0430769230769231,19.4739706516266,286.863533735275,3,0.11972522080471
F1,2,ag,ia3,qa,10,1,0.113412228796844,19.4756135940552,286.426137685776,4,0.11972522080471
