measure,label,model,dataset,arch,pvp,sampling,nshot,sample,value,time_train,time_test,run,majority
Precision,claimfor,xlmroberta-large,ukraine,pet,prompt,equal,10,1,0.610169491525424,,,4,0.745098039215686
Precision,claimfor,xlmroberta-large,ukraine,pet,prompt,equal,10,1,0.716216216216216,,,5,0.745098039215686
Recall,argumentagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,1,0.347107438016529,,,1,0.851239669421488
Recall,argumentagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,1,0.702479338842975,,,2,0.851239669421488
Recall,argumentagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,1,0.760330578512397,,,3,0.851239669421488
Recall,argumentagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,1,0.652892561983471,,,4,0.851239669421488
Recall,argumentagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,1,0.826446280991736,,,5,0.851239669421488
Recall,argumentfor,xlmroberta-large,ukraine,pet,prompt,equal,10,1,0.527472527472528,,,1,0.532967032967033
Recall,argumentfor,xlmroberta-large,ukraine,pet,prompt,equal,10,1,0.434065934065934,,,2,0.532967032967033
Recall,argumentfor,xlmroberta-large,ukraine,pet,prompt,equal,10,1,0.631868131868132,,,3,0.532967032967033
Recall,argumentfor,xlmroberta-large,ukraine,pet,prompt,equal,10,1,0.263736263736264,,,4,0.532967032967033
Recall,argumentfor,xlmroberta-large,ukraine,pet,prompt,equal,10,1,0.384615384615385,,,5,0.532967032967033
Recall,claimagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,1,0.255230125523013,,,1,0.100418410041841
Recall,claimagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,1,0.351464435146444,,,2,0.100418410041841
Recall,claimagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,1,0.184100418410042,,,3,0.100418410041841
Recall,claimagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,1,0.0878661087866109,,,4,0.100418410041841
Recall,claimagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,1,0.096234309623431,,,5,0.100418410041841
Recall,claimfor,xlmroberta-large,ukraine,pet,prompt,equal,10,1,0.25764192139738,,,1,0.0829694323144105
Recall,claimfor,xlmroberta-large,ukraine,pet,prompt,equal,10,1,0.46943231441048,,,2,0.0829694323144105
Recall,claimfor,xlmroberta-large,ukraine,pet,prompt,equal,10,1,0.0633187772925764,,,3,0.0829694323144105
Recall,claimfor,xlmroberta-large,ukraine,pet,prompt,equal,10,1,0.0786026200873363,,,4,0.0829694323144105
Recall,claimfor,xlmroberta-large,ukraine,pet,prompt,equal,10,1,0.115720524017467,,,5,0.0829694323144105
Accuracy,Overall,xlmroberta-large,ukraine,pet,prompt,equal,10,2,0.433,,,1,0.337
Accuracy,Overall,xlmroberta-large,ukraine,pet,prompt,equal,10,2,0.425,,,2,0.337
Accuracy,Overall,xlmroberta-large,ukraine,pet,prompt,equal,10,2,0.277,,,3,0.337
Accuracy,Overall,xlmroberta-large,ukraine,pet,prompt,equal,10,2,0.327,,,4,0.337
Accuracy,Overall,xlmroberta-large,ukraine,pet,prompt,equal,10,2,0.226,,,5,0.337
F1,Overall,xlmroberta-large,ukraine,pet,prompt,equal,10,2,0.436766294701425,,,1,0.33899149981678
F1,Overall,xlmroberta-large,ukraine,pet,prompt,equal,10,2,0.432695106660321,,,2,0.33899149981678
F1,Overall,xlmroberta-large,ukraine,pet,prompt,equal,10,2,0.273092813284254,,,3,0.33899149981678
F1,Overall,xlmroberta-large,ukraine,pet,prompt,equal,10,2,0.318407604088662,,,4,0.33899149981678
F1,Overall,xlmroberta-large,ukraine,pet,prompt,equal,10,2,0.200978539063169,,,5,0.33899149981678
F1,argumentagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,2,0.391666666666667,,,1,0.381709741550696
F1,argumentagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,2,0.415478615071283,,,2,0.381709741550696
F1,argumentagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,2,0.228571428571429,,,3,0.381709741550696
F1,argumentagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,2,0.432432432432432,,,4,0.381709741550696
F1,argumentagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,2,0.219948849104859,,,5,0.381709741550696
F1,argumentfor,xlmroberta-large,ukraine,pet,prompt,equal,10,2,0.375,,,1,0.372093023255814
F1,argumentfor,xlmroberta-large,ukraine,pet,prompt,equal,10,2,0.407766990291262,,,2,0.372093023255814
F1,argumentfor,xlmroberta-large,ukraine,pet,prompt,equal,10,2,0.313725490196078,,,3,0.372093023255814
F1,argumentfor,xlmroberta-large,ukraine,pet,prompt,equal,10,2,0.387909319899244,,,4,0.372093023255814
F1,argumentfor,xlmroberta-large,ukraine,pet,prompt,equal,10,2,0.345431789737172,,,5,0.372093023255814
F1,claimagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,2,0.545893719806763,,,1,0.367088607594937
F1,claimagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,2,0.534653465346535,,,2,0.367088607594937
F1,claimagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,2,0.26530612244898,,,3,0.367088607594937
F1,claimagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,2,0.274647887323944,,,4,0.367088607594937
F1,claimagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,2,0.157232704402516,,,5,0.367088607594937
F1,claimfor,xlmroberta-large,ukraine,pet,prompt,equal,10,2,0.434504792332268,,,1,0.235074626865672
F1,claimfor,xlmroberta-large,ukraine,pet,prompt,equal,10,2,0.372881355932203,,,2,0.235074626865672
F1,claimfor,xlmroberta-large,ukraine,pet,prompt,equal,10,2,0.28476821192053,,,3,0.235074626865672
F1,claimfor,xlmroberta-large,ukraine,pet,prompt,equal,10,2,0.178640776699029,,,4,0.235074626865672
F1,claimfor,xlmroberta-large,ukraine,pet,prompt,equal,10,2,0.0813008130081301,,,5,0.235074626865672
Precision,argumentagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,2,0.261838440111421,,,1,0.25130890052356
Precision,argumentagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,2,0.275675675675676,,,2,0.25130890052356
Precision,argumentagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,2,0.151761517615176,,,3,0.25130890052356
Precision,argumentagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,2,0.307692307692308,,,4,0.25130890052356
Precision,argumentagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,2,0.159259259259259,,,5,0.25130890052356
Precision,argumentfor,xlmroberta-large,ukraine,pet,prompt,equal,10,2,0.302013422818792,,,1,0.259179265658747
Precision,argumentfor,xlmroberta-large,ukraine,pet,prompt,equal,10,2,0.315315315315315,,,2,0.259179265658747
Precision,argumentfor,xlmroberta-large,ukraine,pet,prompt,equal,10,2,0.223255813953488,,,3,0.259179265658747
Precision,argumentfor,xlmroberta-large,ukraine,pet,prompt,equal,10,2,0.251633986928105,,,4,0.259179265658747
Precision,argumentfor,xlmroberta-large,ukraine,pet,prompt,equal,10,2,0.223662884927066,,,5,0.259179265658747
Precision,claimagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,2,0.645714285714286,,,1,0.753246753246753
Precision,claimagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,2,0.654545454545455,,,2,0.753246753246753
Precision,claimagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,2,0.709090909090909,,,3,0.753246753246753
Precision,claimagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,2,0.866666666666667,,,4,0.753246753246753
Precision,claimagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,2,0.316455696202532,,,5,0.753246753246753
Precision,claimfor,xlmroberta-large,ukraine,pet,prompt,equal,10,2,0.80952380952381,,,1,0.807692307692308
Precision,claimfor,xlmroberta-large,ukraine,pet,prompt,equal,10,2,0.833333333333333,,,2,0.807692307692308
Precision,claimfor,xlmroberta-large,ukraine,pet,prompt,equal,10,2,0.589041095890411,,,3,0.807692307692308
Precision,claimfor,xlmroberta-large,ukraine,pet,prompt,equal,10,2,0.807017543859649,,,4,0.807692307692308
Precision,claimfor,xlmroberta-large,ukraine,pet,prompt,equal,10,2,0.588235294117647,,,5,0.807692307692308
Recall,argumentagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,2,0.776859504132231,,,1,0.793388429752066
Recall,argumentagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,2,0.84297520661157,,,2,0.793388429752066
Recall,argumentagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,2,0.462809917355372,,,3,0.793388429752066
Recall,argumentagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,2,0.727272727272727,,,4,0.793388429752066
Recall,argumentagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,2,0.355371900826446,,,5,0.793388429752066
Recall,argumentfor,xlmroberta-large,ukraine,pet,prompt,equal,10,2,0.494505494505495,,,1,0.659340659340659
Recall,argumentfor,xlmroberta-large,ukraine,pet,prompt,equal,10,2,0.576923076923077,,,2,0.659340659340659
Recall,argumentfor,xlmroberta-large,ukraine,pet,prompt,equal,10,2,0.527472527472528,,,3,0.659340659340659
Recall,argumentfor,xlmroberta-large,ukraine,pet,prompt,equal,10,2,0.846153846153846,,,4,0.659340659340659
Recall,argumentfor,xlmroberta-large,ukraine,pet,prompt,equal,10,2,0.758241758241758,,,5,0.659340659340659
Recall,claimagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,2,0.472803347280335,,,1,0.242677824267782
Recall,claimagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,2,0.451882845188285,,,2,0.242677824267782
Recall,claimagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,2,0.163179916317992,,,3,0.242677824267782
Recall,claimagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,2,0.163179916317992,,,4,0.242677824267782
Recall,claimagainst,xlmroberta-large,ukraine,pet,prompt,equal,10,2,0.104602510460251,,,5,0.242677824267782
Recall,claimfor,xlmroberta-large,ukraine,pet,prompt,equal,10,2,0.296943231441048,,,1,0.137554585152838
Recall,claimfor,xlmroberta-large,ukraine,pet,prompt,equal,10,2,0.240174672489083,,,2,0.137554585152838
Recall,claimfor,xlmroberta-large,ukraine,pet,prompt,equal,10,2,0.187772925764192,,,3,0.137554585152838
Recall,claimfor,xlmroberta-large,ukraine,pet,prompt,equal,10,2,0.100436681222707,,,4,0.137554585152838
Recall,claimfor,xlmroberta-large,ukraine,pet,prompt,equal,10,2,0.0436681222707424,,,5,0.137554585152838
Accuracy,Overall,xlmroberta-large,ukraine,pet,prompt,equal,10,3,0.386,,,1,0.36
Accuracy,Overall,xlmroberta-large,ukraine,pet,prompt,equal,10,3,0.339,,,2,0.36
