measure,label,model,dataset,arch,pvp,sampling,nshot,sample,value,time_train,time_test,run,majority
Precision,argumentfor,xlmroberta-large,ukraine,full10,prompt,equal,10,1,0.182,16.3603174686432,52.0646119117737,5,0.237911025145068
Precision,claimagainst,xlmroberta-large,ukraine,full10,prompt,equal,10,1,0.215686274509804,16.3114836215973,51.8702046871185,1,0.280487804878049
Precision,claimagainst,xlmroberta-large,ukraine,full10,prompt,equal,10,1,0.561904761904762,16.346645116806,52.0136156082153,2,0.280487804878049
Precision,claimagainst,xlmroberta-large,ukraine,full10,prompt,equal,10,1,0.32,16.3467164039612,51.9602880477905,3,0.280487804878049
Precision,claimagainst,xlmroberta-large,ukraine,full10,prompt,equal,10,1,0.24124513618677,16.3405411243439,51.9759256839752,4,0.280487804878049
Precision,claimagainst,xlmroberta-large,ukraine,full10,prompt,equal,10,1,0,16.3603174686432,52.0646119117737,5,0.280487804878049
Precision,claimfor,xlmroberta-large,ukraine,full10,prompt,equal,10,1,0.504716981132076,16.3114836215973,51.8702046871185,1,0.705882352941177
Precision,claimfor,xlmroberta-large,ukraine,full10,prompt,equal,10,1,0.677165354330709,16.346645116806,52.0136156082153,2,0.705882352941177
Precision,claimfor,xlmroberta-large,ukraine,full10,prompt,equal,10,1,0.523489932885906,16.3467164039612,51.9602880477905,3,0.705882352941177
Precision,claimfor,xlmroberta-large,ukraine,full10,prompt,equal,10,1,0.638297872340426,16.3405411243439,51.9759256839752,4,0.705882352941177
Precision,claimfor,xlmroberta-large,ukraine,full10,prompt,equal,10,1,0,16.3603174686432,52.0646119117737,5,0.705882352941177
Recall,argumentagainst,xlmroberta-large,ukraine,full10,prompt,equal,10,1,0.330578512396694,16.3114836215973,51.8702046871185,1,0.537190082644628
Recall,argumentagainst,xlmroberta-large,ukraine,full10,prompt,equal,10,1,0.56198347107438,16.346645116806,52.0136156082153,2,0.537190082644628
Recall,argumentagainst,xlmroberta-large,ukraine,full10,prompt,equal,10,1,0.512396694214876,16.3467164039612,51.9602880477905,3,0.537190082644628
Recall,argumentagainst,xlmroberta-large,ukraine,full10,prompt,equal,10,1,0.512396694214876,16.3405411243439,51.9759256839752,4,0.537190082644628
Recall,argumentagainst,xlmroberta-large,ukraine,full10,prompt,equal,10,1,0,16.3603174686432,52.0646119117737,5,0.537190082644628
Recall,argumentfor,xlmroberta-large,ukraine,full10,prompt,equal,10,1,0.412087912087912,16.3114836215973,51.8702046871185,1,0.675824175824176
Recall,argumentfor,xlmroberta-large,ukraine,full10,prompt,equal,10,1,0.494505494505495,16.346645116806,52.0136156082153,2,0.675824175824176
Recall,argumentfor,xlmroberta-large,ukraine,full10,prompt,equal,10,1,0.373626373626374,16.3467164039612,51.9602880477905,3,0.675824175824176
Recall,argumentfor,xlmroberta-large,ukraine,full10,prompt,equal,10,1,0.346153846153846,16.3405411243439,51.9759256839752,4,0.675824175824176
Recall,argumentfor,xlmroberta-large,ukraine,full10,prompt,equal,10,1,1,16.3603174686432,52.0646119117737,5,0.675824175824176
Recall,claimagainst,xlmroberta-large,ukraine,full10,prompt,equal,10,1,0.184100418410042,16.3114836215973,51.8702046871185,1,0.096234309623431
Recall,claimagainst,xlmroberta-large,ukraine,full10,prompt,equal,10,1,0.246861924686192,16.346645116806,52.0136156082153,2,0.096234309623431
Recall,claimagainst,xlmroberta-large,ukraine,full10,prompt,equal,10,1,0.100418410041841,16.3467164039612,51.9602880477905,3,0.096234309623431
Recall,claimagainst,xlmroberta-large,ukraine,full10,prompt,equal,10,1,0.259414225941423,16.3405411243439,51.9759256839752,4,0.096234309623431
Recall,claimagainst,xlmroberta-large,ukraine,full10,prompt,equal,10,1,0,16.3603174686432,52.0646119117737,5,0.096234309623431
Recall,claimfor,xlmroberta-large,ukraine,full10,prompt,equal,10,1,0.233624454148472,16.3114836215973,51.8702046871185,1,0.131004366812227
Recall,claimfor,xlmroberta-large,ukraine,full10,prompt,equal,10,1,0.375545851528384,16.346645116806,52.0136156082153,2,0.131004366812227
Recall,claimfor,xlmroberta-large,ukraine,full10,prompt,equal,10,1,0.170305676855895,16.3467164039612,51.9602880477905,3,0.131004366812227
Recall,claimfor,xlmroberta-large,ukraine,full10,prompt,equal,10,1,0.327510917030568,16.3405411243439,51.9759256839752,4,0.131004366812227
Recall,claimfor,xlmroberta-large,ukraine,full10,prompt,equal,10,1,0,16.3603174686432,52.0646119117737,5,0.131004366812227
Accuracy,Overall,xlmroberta-large,ukraine,full10,prompt,equal,10,2,0.197,16.3872721195221,52.0044193267822,1,0.2
Accuracy,Overall,xlmroberta-large,ukraine,full10,prompt,equal,10,2,0.319,16.3247423171997,51.9670639038086,2,0.2
Accuracy,Overall,xlmroberta-large,ukraine,full10,prompt,equal,10,2,0.317,16.3238155841827,52.0400903224945,3,0.2
Accuracy,Overall,xlmroberta-large,ukraine,full10,prompt,equal,10,2,0.247,16.392989397049,52.0510926246643,4,0.2
Accuracy,Overall,xlmroberta-large,ukraine,full10,prompt,equal,10,2,0.121,16.3602545261383,51.7595095634461,5,0.2
F1,Overall,xlmroberta-large,ukraine,full10,prompt,equal,10,2,0.180662945934579,16.3872721195221,52.0044193267822,1,0.199242092128903
F1,Overall,xlmroberta-large,ukraine,full10,prompt,equal,10,2,0.319519313171137,16.3247423171997,51.9670639038086,2,0.199242092128903
F1,Overall,xlmroberta-large,ukraine,full10,prompt,equal,10,2,0.309601318904682,16.3238155841827,52.0400903224945,3,0.199242092128903
F1,Overall,xlmroberta-large,ukraine,full10,prompt,equal,10,2,0.202092264477498,16.392989397049,52.0510926246643,4,0.199242092128903
F1,Overall,xlmroberta-large,ukraine,full10,prompt,equal,10,2,0.0539696699375558,16.3602545261383,51.7595095634461,5,0.199242092128903
F1,argumentagainst,xlmroberta-large,ukraine,full10,prompt,equal,10,2,0.203517587939698,16.3872721195221,52.0044193267822,1,0.23504721930745
F1,argumentagainst,xlmroberta-large,ukraine,full10,prompt,equal,10,2,0.359073359073359,16.3247423171997,51.9670639038086,2,0.23504721930745
F1,argumentagainst,xlmroberta-large,ukraine,full10,prompt,equal,10,2,0.250530785562633,16.3238155841827,52.0400903224945,3,0.23504721930745
F1,argumentagainst,xlmroberta-large,ukraine,full10,prompt,equal,10,2,0.23046875,16.392989397049,52.0510926246643,4,0.23504721930745
F1,argumentagainst,xlmroberta-large,ukraine,full10,prompt,equal,10,2,0.215878679750223,16.3602545261383,51.7595095634461,5,0.23504721930745
F1,argumentfor,xlmroberta-large,ukraine,full10,prompt,equal,10,2,0.153191489361702,16.3872721195221,52.0044193267822,1,0.244725738396625
F1,argumentfor,xlmroberta-large,ukraine,full10,prompt,equal,10,2,0.3776,16.3247423171997,51.9670639038086,2,0.244725738396625
F1,argumentfor,xlmroberta-large,ukraine,full10,prompt,equal,10,2,0.382239382239382,16.3238155841827,52.0400903224945,3,0.244725738396625
F1,argumentfor,xlmroberta-large,ukraine,full10,prompt,equal,10,2,0.154589371980676,16.392989397049,52.0510926246643,4,0.244725738396625
F1,argumentfor,xlmroberta-large,ukraine,full10,prompt,equal,10,2,0,16.3602545261383,51.7595095634461,5,0.244725738396625
F1,claimagainst,xlmroberta-large,ukraine,full10,prompt,equal,10,2,0.130293159609121,16.3872721195221,52.0044193267822,1,0.219435736677116
F1,claimagainst,xlmroberta-large,ukraine,full10,prompt,equal,10,2,0.357142857142857,16.3247423171997,51.9670639038086,2,0.219435736677116
F1,claimagainst,xlmroberta-large,ukraine,full10,prompt,equal,10,2,0.258760107816712,16.3238155841827,52.0400903224945,3,0.219435736677116
F1,claimagainst,xlmroberta-large,ukraine,full10,prompt,equal,10,2,0.414634146341463,16.392989397049,52.0510926246643,4,0.219435736677116
F1,claimagainst,xlmroberta-large,ukraine,full10,prompt,equal,10,2,0,16.3602545261383,51.7595095634461,5,0.219435736677116
F1,claimfor,xlmroberta-large,ukraine,full10,prompt,equal,10,2,0.235649546827795,16.3872721195221,52.0044193267822,1,0.0977596741344195
F1,claimfor,xlmroberta-large,ukraine,full10,prompt,equal,10,2,0.18426103646833,16.3247423171997,51.9670639038086,2,0.0977596741344195
F1,claimfor,xlmroberta-large,ukraine,full10,prompt,equal,10,2,0.346875,16.3238155841827,52.0400903224945,3,0.0977596741344195
F1,claimfor,xlmroberta-large,ukraine,full10,prompt,equal,10,2,0.0086767895878525,16.392989397049,52.0510926246643,4,0.0977596741344195
F1,claimfor,xlmroberta-large,ukraine,full10,prompt,equal,10,2,0,16.3602545261383,51.7595095634461,5,0.0977596741344195
Precision,argumentagainst,xlmroberta-large,ukraine,full10,prompt,equal,10,2,0.12,16.3872721195221,52.0044193267822,1,0.134615384615385
Precision,argumentagainst,xlmroberta-large,ukraine,full10,prompt,equal,10,2,0.234256926952141,16.3247423171997,51.9670639038086,2,0.134615384615385
Precision,argumentagainst,xlmroberta-large,ukraine,full10,prompt,equal,10,2,0.168571428571429,16.3238155841827,52.0400903224945,3,0.134615384615385
Precision,argumentagainst,xlmroberta-large,ukraine,full10,prompt,equal,10,2,0.150895140664962,16.392989397049,52.0510926246643,4,0.134615384615385
Precision,argumentagainst,xlmroberta-large,ukraine,full10,prompt,equal,10,2,0.121,16.3602545261383,51.7595095634461,5,0.134615384615385
Precision,argumentfor,xlmroberta-large,ukraine,full10,prompt,equal,10,2,0.339622641509434,16.3872721195221,52.0044193267822,1,0.527272727272727
Precision,argumentfor,xlmroberta-large,ukraine,full10,prompt,equal,10,2,0.266365688487585,16.3247423171997,51.9670639038086,2,0.527272727272727
Precision,argumentfor,xlmroberta-large,ukraine,full10,prompt,equal,10,2,0.294642857142857,16.3238155841827,52.0400903224945,3,0.527272727272727
Precision,argumentfor,xlmroberta-large,ukraine,full10,prompt,equal,10,2,0.64,16.392989397049,52.0510926246643,4,0.527272727272727
Precision,argumentfor,xlmroberta-large,ukraine,full10,prompt,equal,10,2,0,16.3602545261383,51.7595095634461,5,0.527272727272727
Precision,claimagainst,xlmroberta-large,ukraine,full10,prompt,equal,10,2,0.294117647058824,16.3872721195221,52.0044193267822,1,0.4375
Precision,claimagainst,xlmroberta-large,ukraine,full10,prompt,equal,10,2,0.618556701030928,16.3247423171997,51.9670639038086,2,0.4375
Precision,claimagainst,xlmroberta-large,ukraine,full10,prompt,equal,10,2,0.363636363636364,16.3238155841827,52.0400903224945,3,0.4375
