measure,label,model,dataset,arch,pvp,sampling,nshot,sample,value,time_train,time_test,run,majority
Precision,argumentfor,xlmroberta-large,ukraine,ia3,prompt,equal,10,1,0.213513513513514,12.016615152359,20.2247447967529,5,0.226502311248074
Precision,claimagainst,xlmroberta-large,ukraine,ia3,prompt,equal,10,1,0.440251572327044,12.0151963233948,19.56369805336,1,0.4
Precision,claimagainst,xlmroberta-large,ukraine,ia3,prompt,equal,10,1,0.411764705882353,12.0164906978607,20.1971929073334,2,0.4
Precision,claimagainst,xlmroberta-large,ukraine,ia3,prompt,equal,10,1,0.531914893617021,12.0194184780121,20.1062223911285,3,0.4
Precision,claimagainst,xlmroberta-large,ukraine,ia3,prompt,equal,10,1,0.339622641509434,12.0177159309387,20.0630574226379,4,0.4
Precision,claimagainst,xlmroberta-large,ukraine,ia3,prompt,equal,10,1,0.415584415584416,12.016615152359,20.2247447967529,5,0.4
Precision,claimfor,xlmroberta-large,ukraine,ia3,prompt,equal,10,1,0.574712643678161,12.0151963233948,19.56369805336,1,0.694915254237288
Precision,claimfor,xlmroberta-large,ukraine,ia3,prompt,equal,10,1,0.622448979591837,12.0164906978607,20.1971929073334,2,0.694915254237288
Precision,claimfor,xlmroberta-large,ukraine,ia3,prompt,equal,10,1,0.403225806451613,12.0194184780121,20.1062223911285,3,0.694915254237288
Precision,claimfor,xlmroberta-large,ukraine,ia3,prompt,equal,10,1,0.652777777777778,12.0177159309387,20.0630574226379,4,0.694915254237288
Precision,claimfor,xlmroberta-large,ukraine,ia3,prompt,equal,10,1,0.564102564102564,12.016615152359,20.2247447967529,5,0.694915254237288
Recall,argumentagainst,xlmroberta-large,ukraine,ia3,prompt,equal,10,1,0.256198347107438,12.0151963233948,19.56369805336,1,0.223140495867769
Recall,argumentagainst,xlmroberta-large,ukraine,ia3,prompt,equal,10,1,0.190082644628099,12.0164906978607,20.1971929073334,2,0.223140495867769
Recall,argumentagainst,xlmroberta-large,ukraine,ia3,prompt,equal,10,1,0.140495867768595,12.0194184780121,20.1062223911285,3,0.223140495867769
